SWA,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Y
SIW,3,53-2021.00,Air Traffic Controllers,
SWR,3,49-3011.00,Aircraft Mechanics and Service Technicians,Y
SIW,3,53-2022.00,Airfield Operations Specialists,
SWA,3,17-3011.00,Architectural and Civil Drafters,
SRI,3,49-2097.00,Audiovisual Equipment Installers and Repairers,
SIR,3,49-3023.00,Automotive Service Technicians and Mechanics,
SIA,3,53-6051.01,Aviation Inspectors,
SRA,3,49-2091.00,Avionics Technicians,
SRI,3,47-2011.00,Boilermakers,
SRA,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Y
SAI,3,27-4012.00,Broadcast Technicians,
SRA,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,
SRI,3,27-4031.00,"Camera Operators, Television, Video, and Film",Y
SRW,3,19-4031.00,Chemical Technicians,
SIA,3,17-3022.00,Civil Engineering Technologists and Technicians,
SIW,3,49-9092.00,Commercial Divers,
SIRc,3,53-2012.00,Commercial Pilots,Y
SIR,3,51-9162.00,Computer Numerically Controlled Tool Programmers,Y
SIW,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",
SIW,3,47-4011.00,Construction and Building Inspectors,
SIW,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",
SIW,3,53-7021.00,Crane and Tower Operators,
SWI,3,33-3051.04,Customs and Border Protection Officers,Y
SRW,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",
SWI,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,
SRA,3,17-3012.00,Electrical and Electronics Drafters,
SWR,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",
SWI,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",
SIW,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",
SIR,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",
SWI,3,47-4021.00,Elevator and Escalator Installers and Repairers,Y
SRW,3,51-6092.00,Fabric and Apparel Patternmakers,
SIA,3,49-3041.00,Farm Equipment Mechanics and Service Technicians,
SRA,3,33-2011.00,Firefighters,Y
SIA,3,33-1011.00,First-Line Supervisors of Correctional Officers,
SIR,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Y
SIR,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Y
SRA,3,19-4013.00,Food Science Technicians,
SRcI,3,19-4092.00,Forensic Science Technicians,Y
SIW,3,51-9071.06,Gem and Diamond Workers,
SIR,3,13-1041.04,Government Property Inspectors and Investigators,Y
SRI,3,47-4041.00,Hazardous Materials Removal Workers,
SIR,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",
SWA,3,51-8013.04,Hydroelectric Plant Technicians,
SAI,3,17-3026.00,Industrial Engineering Technologists and Technicians,
SIW,3,49-9041.00,Industrial Machinery Mechanics,Y
SWI,3,51-4041.00,Machinists,
SIR,3,49-9071.00,"Maintenance and Repair Workers, General",Y
SIR,3,49-9043.00,"Maintenance Workers, Machinery",
SWA,3,17-3013.00,Mechanical Drafters,
SWR,3,17-3027.00,Mechanical Engineering Technologists and Technicians,
SRI,3,29-2012.00,Medical and Clinical Laboratory Technicians,Y
SIR,3,49-9062.00,Medical Equipment Repairers,
SRA,3,31-9094.00,Medical Transcriptionists,
SIR,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",
SWA,3,51-4061.00,"Model Makers, Metal and Plastic",
SIW,3,49-3051.00,Motorboat Mechanics and Service Technicians,
SRI,3,29-2099.01,Neurodiagnostic Technologists,
SRI,3,43-4141.00,New Accounts Clerks,
SRI,3,19-4051.02,Nuclear Monitoring Technicians,
SWA,3,51-8011.00,Nuclear Power Reactor Operators,
SWR,3,19-4051.00,Nuclear Technicians,
SIR,3,51-4062.00,"Patternmakers, Metal and Plastic",
SRI,3,51-7032.00,"Patternmakers, Wood",
SAR,3,31-9097.00,Phlebotomists,Y
SRA,3,33-3021.02,Police Identification and Records Officers,
SIW,3,51-8012.00,Power Distributors and Dispatchers,
SIR,3,51-5111.00,Prepress Technicians and Workers,
SIW,3,19-4099.01,Quality Control Analysts,Y
SWA,3,17-3024.01,Robotics Technicians,
SRI,3,49-2098.00,Security and Fire Alarm Systems Installers,Y
SIW,3,49-9097.00,Signal and Track Switch Repairers,
SAW,3,47-2152.04,Solar Thermal Installers and Technicians,
SRW,3,51-8021.00,Stationary Engineers and Boiler Operators,
SRA,3,29-2055.00,Surgical Technologists,Y
SIR,3,17-3031.00,Surveying and Mapping Technicians,
SIW,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",
SWI,3,51-4111.00,Tool and Die Makers,
SIA,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators,
SAW,3,49-9081.00,Wind Turbine Service Technicians,Y
SAW,4,19-4021.00,Biological Technicians,Y
SIW,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Y
SWA,4,17-3025.00,Environmental Engineering Technologists and Technicians,Y
SRI,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Y
SWI,4,17-2131.00,Materials Engineers,Y
SIA,4,29-2011.00,Medical and Clinical Laboratory Technologists,Y
SWA,4,19-5011.00,Occupational Health and Safety Specialists,Y
SRW,4,21-1092.00,Probation Officers and Correctional Treatment Specialists,Y
SAI,4,11-3051.01,Quality Control Systems Managers,Y
SWA,4,19-4099.03,Remote Sensing Technicians,Y
SAW,4,43-9111.00,Statistical Assistants,Y
SWR,4,53-6051.00,Transportation Inspectors,Y
WSA,4,11-3021.00,Computer and Information Systems Managers,Y
ASW,4,15-1231.00,Computer Network Support Specialists,Y
RSA,4,29-1141.03,Critical Care Nurses,Y
ASW,4,15-1299.03,Document Management Specialists,Y
RSA,4,13-1071.00,Human Resources Specialists,Y
WSI,4,17-2112.03,Manufacturing Engineers,Y
RSI,4,21-1093.00,Social and Human Service Assistants,Y
SRA,5,29-1071.01,Anesthesiologist Assistants,Y
SRA,5,29-1141.04,Clinical Nurse Specialists,Y
SRA,5,29-1151.00,Nurse Anesthetists,Y
RcSR,5,29-1051.00,Pharmacists,Y
RWS,5,29-1141.02,Advanced Practice Psychiatric Nurses,Y
AWS,5,23-1012.00,Judicial Law Clerks,Y
AIS,5,25-9044.00,"Teaching Assistants, Postsecondary",Y
